metric_type,year,province_name,sector_name,model_used,forecast_value,lower_bound_95,upper_bound_95
GDP,2026,Zamboanga del Norte,Agriculture,XGBoost,19030.01,18948.61,19111.4
Industry_Growth,2026,Zamboanga del Norte,Agriculture,XGBoost,4.03,3.25,4.81
GDP,2027,Zamboanga del Norte,Agriculture,XGBoost,19421.44,19306.33,19536.55
Industry_Growth,2027,Zamboanga del Norte,Agriculture,XGBoost,4.31,3.21,5.4
GDP,2028,Zamboanga del Norte,Agriculture,XGBoost,19520.29,19379.31,19661.27
Industry_Growth,2028,Zamboanga del Norte,Agriculture,XGBoost,4.61,3.26,5.95
GDP,2029,Zamboanga del Norte,Agriculture,XGBoost,19620.12,19457.33,19782.92
Industry_Growth,2029,Zamboanga del Norte,Agriculture,XGBoost,4.94,3.39,6.49
GDP,2030,Zamboanga del Norte,Agriculture,XGBoost,19720.96,19538.95,19902.97
Industry_Growth,2030,Zamboanga del Norte,Agriculture,XGBoost,5.31,3.57,7.04
GDP,2026,Zamboanga del Norte,Industry,XGBoost,208.37,206.1,210.63
Industry_Growth,2026,Zamboanga del Norte,Industry,XGBoost,7.27,6.86,7.68
GDP,2027,Zamboanga del Norte,Industry,XGBoost,209.42,206.21,212.62
Industry_Growth,2027,Zamboanga del Norte,Industry,XGBoost,6.85,6.27,7.44
GDP,2028,Zamboanga del Norte,Industry,XGBoost,210.48,206.55,214.41
Industry_Growth,2028,Zamboanga del Norte,Industry,XGBoost,7.16,6.44,7.87
GDP,2029,Zamboanga del Norte,Industry,XGBoost,211.55,207.02,216.09
Industry_Growth,2029,Zamboanga del Norte,Industry,XGBoost,7.49,6.67,8.31
GDP,2030,Zamboanga del Norte,Industry,XGBoost,212.64,207.57,217.71
Industry_Growth,2030,Zamboanga del Norte,Industry,XGBoost,7.85,6.93,8.78
GDP,2026,Zamboanga del Norte,Manufacturing,XGBoost,22726.49,22526.61,22926.36
Industry_Growth,2026,Zamboanga del Norte,Manufacturing,XGBoost,4.98,4.18,5.78
GDP,2027,Zamboanga del Norte,Manufacturing,XGBoost,23088.74,22806.07,23371.41
Industry_Growth,2027,Zamboanga del Norte,Manufacturing,XGBoost,5.0,3.87,6.13
GDP,2028,Zamboanga del Norte,Manufacturing,XGBoost,23461.86,23115.66,23808.05
Industry_Growth,2028,Zamboanga del Norte,Manufacturing,XGBoost,5.03,3.65,6.41
GDP,2029,Zamboanga del Norte,Manufacturing,XGBoost,23846.16,23446.4,24245.91
Industry_Growth,2029,Zamboanga del Norte,Manufacturing,XGBoost,5.06,3.46,6.65
GDP,2030,Zamboanga del Norte,Manufacturing,XGBoost,24241.98,23795.05,24688.92
Industry_Growth,2030,Zamboanga del Norte,Manufacturing,XGBoost,5.08,3.29,6.87
GDP,2026,Zamboanga del Norte,Industry,XGBoost,1402.91,1395.84,1409.97
Industry_Growth,2026,Zamboanga del Norte,Industry,XGBoost,3.24,2.74,3.73
GDP,2027,Zamboanga del Norte,Industry,XGBoost,1430.9,1420.92,1440.89
Industry_Growth,2027,Zamboanga del Norte,Industry,XGBoost,3.51,2.81,4.21
GDP,2028,Zamboanga del Norte,Industry,XGBoost,1460.0,1447.77,1472.23
Industry_Growth,2028,Zamboanga del Norte,Industry,XGBoost,3.81,2.96,4.67
GDP,2029,Zamboanga del Norte,Industry,XGBoost,1490.22,1476.1,1504.35
Industry_Growth,2029,Zamboanga del Norte,Industry,XGBoost,4.15,3.16,5.14
GDP,2030,Zamboanga del Norte,Industry,XGBoost,1521.63,1505.85,1537.42
Industry_Growth,2030,Zamboanga del Norte,Industry,XGBoost,4.51,3.41,5.62
GDP,2026,Zamboanga del Norte,Construction,XGBoost,21717.8,21424.91,22010.69
Industry_Growth,2026,Zamboanga del Norte,Construction,XGBoost,5.66,4.42,6.89
GDP,2027,Zamboanga del Norte,Construction,XGBoost,22317.88,21903.67,22732.09
Industry_Growth,2027,Zamboanga del Norte,Construction,XGBoost,5.68,3.94,7.43
GDP,2028,Zamboanga del Norte,Construction,XGBoost,22950.08,22442.78,23457.38
Industry_Growth,2028,Zamboanga del Norte,Construction,XGBoost,5.71,3.57,7.85
GDP,2029,Zamboanga del Norte,Construction,XGBoost,23616.12,23030.35,24201.9
Industry_Growth,2029,Zamboanga del Norte,Construction,XGBoost,5.73,3.26,8.21
GDP,2030,Zamboanga del Norte,Construction,XGBoost,24317.82,23662.9,24972.74
Industry_Growth,2030,Zamboanga del Norte,Construction,XGBoost,5.76,3.0,8.52
GDP,2026,Zamboanga del Norte,Trade,XGBoost,26744.02,26522.0,26966.04
Industry_Growth,2026,Zamboanga del Norte,Trade,XGBoost,5.37,5.12,5.63
GDP,2027,Zamboanga del Norte,Trade,XGBoost,27238.78,26924.8,27552.77
Industry_Growth,2027,Zamboanga del Norte,Trade,XGBoost,5.66,5.31,6.02
GDP,2028,Zamboanga del Norte,Trade,XGBoost,27751.46,27366.91,28136.01
Industry_Growth,2028,Zamboanga del Norte,Trade,XGBoost,5.19,4.75,5.63
GDP,2029,Zamboanga del Norte,Trade,XGBoost,28282.69,27838.65,28726.74
Industry_Growth,2029,Zamboanga del Norte,Trade,XGBoost,5.22,4.71,5.72
GDP,2030,Zamboanga del Norte,Trade,XGBoost,28833.16,28336.71,29329.62
Industry_Growth,2030,Zamboanga del Norte,Trade,XGBoost,5.24,4.68,5.81
GDP,2026,Zamboanga del Norte,Services,XGBoost,3453.01,3400.79,3505.22
Industry_Growth,2026,Zamboanga del Norte,Services,XGBoost,9.2,7.99,10.4
GDP,2027,Zamboanga del Norte,Services,XGBoost,3499.66,3425.82,3573.5
Industry_Growth,2027,Zamboanga del Norte,Services,XGBoost,10.34,8.63,12.04
GDP,2028,Zamboanga del Norte,Services,XGBoost,3547.55,3457.11,3637.98
Industry_Growth,2028,Zamboanga del Norte,Services,XGBoost,10.36,8.28,12.45
GDP,2029,Zamboanga del Norte,Services,XGBoost,3596.7,3492.27,3701.13
Industry_Growth,2029,Zamboanga del Norte,Services,XGBoost,10.39,7.98,12.8
GDP,2030,Zamboanga del Norte,Services,XGBoost,3647.16,3530.4,3763.91
