year,quarter,province_name,sector_name,gdp_value_m_php,growth_rate_pct
2018,1,Zamboanga del Norte,Agriculture,4533.02,0.0
2018,2,Zamboanga del Norte,Agriculture,4730.11,0.0
2018,3,Zamboanga del Norte,Agriculture,4927.2,0.0
2018,4,Zamboanga del Norte,Agriculture,5518.46,0.0
2019,1,Zamboanga del Norte,Agriculture,4410.71,0.0
2019,2,Zamboanga del Norte,Agriculture,4602.48,0.0
2019,3,Zamboanga del Norte,Agriculture,4794.25,0.0
2019,4,Zamboanga del Norte,Agriculture,5369.56,0.0
2020,1,Zamboanga del Norte,Agriculture,4309.59,0.0
2020,2,Zamboanga del Norte,Agriculture,4496.97,0.0
2020,3,Zamboanga del Norte,Agriculture,4684.34,0.0
2020,4,Zamboanga del Norte,Agriculture,5246.46,0.0
2021,1,Zamboanga del Norte,Agriculture,3996.22,0.0
2021,2,Zamboanga del Norte,Agriculture,4169.97,0.0
2021,3,Zamboanga del Norte,Agriculture,4343.71,0.0
2021,4,Zamboanga del Norte,Agriculture,4864.96,0.0
2022,1,Zamboanga del Norte,Agriculture,4009.49,0.0
2022,2,Zamboanga del Norte,Agriculture,4183.81,0.0
2022,3,Zamboanga del Norte,Agriculture,4358.14,0.0
2022,4,Zamboanga del Norte,Agriculture,4881.12,0.0
2023,1,Zamboanga del Norte,Agriculture,4325.55,0.0
2023,2,Zamboanga del Norte,Agriculture,4513.62,0.0
2023,3,Zamboanga del Norte,Agriculture,4701.69,0.0
2023,4,Zamboanga del Norte,Agriculture,5265.89,0.0
2024,1,Zamboanga del Norte,Agriculture,4245.17,0.0
2024,2,Zamboanga del Norte,Agriculture,4429.74,0.0
2024,3,Zamboanga del Norte,Agriculture,4614.31,0.0
2024,4,Zamboanga del Norte,Agriculture,5168.03,0.0
2018,1,Zamboanga del Norte,Industry,56.61,0.0
2018,2,Zamboanga del Norte,Industry,59.08,0.0
2018,3,Zamboanga del Norte,Industry,61.54,0.0
2018,4,Zamboanga del Norte,Industry,68.92,0.0
2019,1,Zamboanga del Norte,Industry,41.1,0.0
2019,2,Zamboanga del Norte,Industry,42.89,0.0
2019,3,Zamboanga del Norte,Industry,44.67,0.0
2019,4,Zamboanga del Norte,Industry,50.03,0.0
2020,1,Zamboanga del Norte,Industry,36.51,0.0
2020,2,Zamboanga del Norte,Industry,38.1,0.0
2020,3,Zamboanga del Norte,Industry,39.68,0.0
2020,4,Zamboanga del Norte,Industry,44.45,0.0
2021,1,Zamboanga del Norte,Industry,38.36,0.0
2021,2,Zamboanga del Norte,Industry,40.03,0.0
2021,3,Zamboanga del Norte,Industry,41.7,0.0
2021,4,Zamboanga del Norte,Industry,46.7,0.0
2022,1,Zamboanga del Norte,Industry,41.33,0.0
2022,2,Zamboanga del Norte,Industry,43.13,0.0
2022,3,Zamboanga del Norte,Industry,44.92,0.0
2022,4,Zamboanga del Norte,Industry,50.31,0.0
2023,1,Zamboanga del Norte,Industry,41.74,0.0
2023,2,Zamboanga del Norte,Industry,43.56,0.0
2023,3,Zamboanga del Norte,Industry,45.37,0.0
2023,4,Zamboanga del Norte,Industry,50.82,0.0
2024,1,Zamboanga del Norte,Industry,45.64,0.0
2024,2,Zamboanga del Norte,Industry,47.62,0.0
2024,3,Zamboanga del Norte,Industry,49.61,0.0
2024,4,Zamboanga del Norte,Industry,55.56,0.0
2018,1,Zamboanga del Norte,Manufacturing,4594.73,0.0
2018,2,Zamboanga del Norte,Manufacturing,4794.5,0.0
2018,3,Zamboanga del Norte,Manufacturing,4994.27,0.0
2018,4,Zamboanga del Norte,Manufacturing,5593.59,0.0
2019,1,Zamboanga del Norte,Manufacturing,4568.67,0.0
2019,2,Zamboanga del Norte,Manufacturing,4767.31,0.0
2019,3,Zamboanga del Norte,Manufacturing,4965.95,0.0
2019,4,Zamboanga del Norte,Manufacturing,5561.86,0.0
2020,1,Zamboanga del Norte,Manufacturing,5870.2,0.0
2020,2,Zamboanga del Norte,Manufacturing,6125.42,0.0
2020,3,Zamboanga del Norte,Manufacturing,6380.65,0.0
2020,4,Zamboanga del Norte,Manufacturing,7146.33,0.0
2021,1,Zamboanga del Norte,Manufacturing,5182.88,0.0
2021,2,Zamboanga del Norte,Manufacturing,5408.23,0.0
2021,3,Zamboanga del Norte,Manufacturing,5633.57,0.0
2021,4,Zamboanga del Norte,Manufacturing,6309.6,0.0
2022,1,Zamboanga del Norte,Manufacturing,5339.13,0.0
2022,2,Zamboanga del Norte,Manufacturing,5571.27,0.0
2022,3,Zamboanga del Norte,Manufacturing,5803.4,0.0
2022,4,Zamboanga del Norte,Manufacturing,6499.81,0.0
2023,1,Zamboanga del Norte,Manufacturing,4862.1,0.0
2023,2,Zamboanga del Norte,Manufacturing,5073.5,0.0
2023,3,Zamboanga del Norte,Manufacturing,5284.9,0.0
2023,4,Zamboanga del Norte,Manufacturing,5919.08,0.0
2024,1,Zamboanga del Norte,Manufacturing,5139.02,0.0
2024,2,Zamboanga del Norte,Manufacturing,5362.46,0.0
2024,3,Zamboanga del Norte,Manufacturing,5585.89,0.0
2024,4,Zamboanga del Norte,Manufacturing,6256.2,0.0
2018,1,Zamboanga del Norte,Industry,244.09,0.0
2018,2,Zamboanga del Norte,Industry,254.71,0.0
2018,3,Zamboanga del Norte,Industry,265.32,0.0
2018,4,Zamboanga del Norte,Industry,297.16,0.0
